"component_name","final_classification","batch","priority","risk_level","effort","consumer_apps","repo_ui_status","spec_required","migration_complexity"
"ClaimAssessmentSection","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimAttachmentDetailsModal","KEEP_APP_LOCAL","N/A","P2","LOW","XS","claim-portal","missing","no","low"
"ClaimCategoryView","MIGRATE_AFTER_SPLIT","1.5","P0","MEDIUM","M","customer-portal","missing","no","high"
"ClaimClaimListParamPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimDetail","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimDetailDocument","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimDetailDocumentView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimDetailJourney","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimDetailPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","affiliate-admin","missing","no","low"
"ClaimDetailsSection","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimDetailView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","M","affiliate-admin|customer-portal|partner-portal","missing","no","high"
"ClaimDetailViewShell","KEEP_APP_LOCAL","1.5","P2","HIGH","L","affiliate-admin","missing","no","low"
"ClaimDocumentList","KEEP_APP_LOCAL","N/A","P2","LOW","XS","claim-portal","missing","no","low"
"ClaimExportPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","affiliate-admin","missing","no","low"
"ClaimExportView","SPLIT","1.5","P0","HIGH","M","affiliate-admin|partner-portal","missing","no","high"
"ClaimExportViewShell","KEEP_APP_LOCAL","1.5","P2","MEDIUM","M","affiliate-admin","missing","no","low"
"ClaimFilter","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimFilterDate","MIGRATE_AFTER_SPLIT","1.5","P0","MEDIUM","M","customer-portal","missing","no","high"
"ClaimFilterStatus","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimHistoryModal","KEEP_APP_LOCAL","N/A","P2","LOW","S","claim-portal","missing","no","low"
"ClaimImportView","KEEP_APP_LOCAL","N/A","P0","HIGH","M","partner-portal","missing","no","low"
"ClaimInsuredEdit","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimInsuredEditView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimJourneyView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimList","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimListPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","affiliate-admin","missing","no","low"
"ClaimListView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","M","affiliate-admin|customer-portal|partner-portal","missing","no","high"
"ClaimListViewShell","KEEP_APP_LOCAL","1.5","P2","HIGH","L","affiliate-admin","missing","no","low"
"ClaimOwnershipModal","KEEP_APP_LOCAL","N/A","P2","LOW","S","claim-portal","missing","no","low"
"ClaimPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"ClaimStatusDetail","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimStatusModal","SPLIT","1.5","P1","MEDIUM","S","claim-portal","missing","no","high"
"ClaimStatusModalContainer","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","claim-portal","missing","no","low"
"ClaimStatusModalShell","KEEP_APP_LOCAL","N/A","P2","LOW","XS","claim-portal","missing","no","low"
"ClaimStatusSection","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimSubmission","MIGRATE_AFTER_SPLIT","1.5","P0","MEDIUM","M","customer-portal","missing","no","high"
"ClaimSubmissionBenefits","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimSubmissionBenefitsView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimSubmissionPartnerView","SPLIT","1.5","P0","MEDIUM","M","customer-portal","missing","no","high"
"ClaimSubmissionPartnerViewContainer","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimSubmissionPartnerViewShell","KEEP_APP_LOCAL","N/A","P2","LOW","S","customer-portal","missing","no","low"
"ClaimSubmissionPreview","MIGRATE_AFTER_SPLIT","1.5","P0","MEDIUM","M","customer-portal","missing","no","high"
"ClaimSubmissionView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimSuccessView","KEEP_APP_LOCAL","N/A","P2","LOW","XS","claim-portal","missing","no","low"
"ClaimSummaryView","SPLIT","1.5","P0","HIGH","L","claim-portal","missing","no","high"
"ClaimSummaryViewContainer","KEEP_APP_LOCAL","N/A","P0","HIGH","L","claim-portal","missing","no","low"
"ClaimSummaryViewShell","KEEP_APP_LOCAL","N/A","P2","LOW","S","claim-portal","missing","no","low"
"ClaimTable","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ClaimUploadMissingDocuments","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","customer-portal","missing","no","low"
"ClaimUploadMissingDocumentsView","MIGRATE_AFTER_SPLIT","1.5","P0","HIGH","L","customer-portal","missing","no","high"
"ClaimUploadModal","SPLIT","1.5","P0","HIGH","M","claim-portal","missing","no","high"
"ClaimUploadModalContainer","KEEP_APP_LOCAL","N/A","P0","HIGH","M","claim-portal","missing","no","low"
"ClaimUploadModalShell","KEEP_APP_LOCAL","N/A","P2","LOW","S","claim-portal","missing","no","low"
"ClaimUploadSuccessModal","KEEP_APP_LOCAL","N/A","P2","LOW","XS","claim-portal","missing","no","low"
"ClaimView","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"ClaimViewShell","KEEP_APP_LOCAL","1.5","P0","HIGH","S","gegm-friendcover-admin","missing","no","low"
"ClientErrorBoundary","NEW_SHARED_COMPONENT","4","P2","medium","M","boost-product-fe","partial","yes","medium"
"ClientLayout","SPLIT","1.5","P1","MEDIUM","M","admin-portal-boost","missing","no","high"
"ClientLayout Shell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","M","admin-portal-boost","missing","no","low"
"ClockCircleLinearIcon","NEW_SHARED_COMPONENT","4","P1","LOW","S","customer-portal","missing","yes","low"
"Combobox","NEW_SHARED_COMPONENT","4","P0","HIGH","S","admin-portal|admin-portal-boost|agent-web-portal","partial","yes","high"
"Command","NEW_SHARED_COMPONENT","4","P1","LOW","S","admin-portal|admin-portal-boost","missing","yes","low"
"Command primitives","NEW_SHARED_COMPONENT","4","P2","medium","M","boost-product-fe","partial","yes","medium"
"CommentForm","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","mykawan-website","missing","no","low"
"CommentList","KEEP_APP_LOCAL","N/A","P2","MEDIUM","S","mykawan-website","missing","no","low"
"CommissionIcon","KEEP_APP_LOCAL","N/A","P3","MEDIUM","XS","affiliate-admin|agent-web-portal","partial","no","low"
"common__components__button-edit-package","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__card-detail-amount","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__checkbox","NEW_SHARED_COMPONENT","4","P0","MEDIUM","M","gelm-xproject-microsite","partial","yes","medium"
"common__components__compare","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__datepicker","NEW_SHARED_COMPONENT","4","P1","HIGH","M","gelm-xproject-microsite","partial","yes","high"
"common__components__error-content","NEW_SHARED_COMPONENT","4","P1","MEDIUM","M","gelm-xproject-microsite","partial","yes","medium"
"common__components__file-input","NEW_SHARED_COMPONENT","4","P0","HIGH","M","gelm-xproject-microsite","partial","yes","high"
"common__components__flash-message","NEW_SHARED_COMPONENT","4","P1","MEDIUM","M","gelm-xproject-microsite","partial","yes","medium"
"common__components__footer","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__footer-product-detail","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__footer-transaction","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__form-step","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__header-list-product","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__header-product-detail","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__html-content","NEW_SHARED_COMPONENT","4","P1","MEDIUM","M","gelm-xproject-microsite","partial","yes","medium"
"common__components__i18-provider","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__info-product","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-affiliate","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-currency","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-email","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-name","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-number","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-phone","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__input-select","NEW_SHARED_COMPONENT","4","P0","HIGH","M","gelm-xproject-microsite","partial","yes","high"
"common__components__input-select-autocomplete","NEW_SHARED_COMPONENT","4","P0","HIGH","M","gelm-xproject-microsite","partial","yes","high"
"common__components__input-text","NEW_SHARED_COMPONENT","4","P0","HIGH","M","gelm-xproject-microsite","partial","yes","high"
"common__components__item-package","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__loader","NEW_SHARED_COMPONENT","4","P0","MEDIUM","M","gelm-xproject-microsite","partial","yes","medium"
"common__components__modal-accept-cookie","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__modal-detail-amount","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__modal-sanction-list","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__modal-select-lang","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__modal-select-lang-change","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__modal-sort","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__modal-transaction-not-found","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__navigation","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__navigation-bar","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__query-provider","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__ReCaptcha","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__select-phone-code","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__table-benefit-plan","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"common__components__view-image","KEEP_APP_LOCAL","N/A","P3","LOW","S","gelm-xproject-microsite","partial","no","low"
"CommonComponentsAiChatBubble","SPLIT","1.5","P1","LOW","XS","teman-affiliate-microsite","missing","no","high"
"CommonComponentsAiChatBubbleContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAiChatBubbleShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAiRecommenderHeaderAiRecommenderHeader","SPLIT","1.5","P1","MEDIUM","XS","teman-affiliate-microsite","missing","no","high"
"CommonComponentsAiRecommenderHeaderContainer","KEEP_APP_LOCAL","N/A","P1","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAiRecommenderHeaderShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAiRecommenderLoaderAiRecommenderLoader","SPLIT","1.5","P1","MEDIUM","S","teman-affiliate-microsite","missing","no","high"
"CommonComponentsAiRecommenderLoaderContainer","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAiRecommenderLoaderShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAlertBuy","SPLIT","1.5","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsAlertBuyContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsAlertBuyShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCarouselHero","SPLIT","1.5","P1","LOW","XS","teman-affiliate-microsite","missing","no","high"
"CommonComponentsCarouselHeroContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCarouselHeroShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCarouselPartner","SPLIT","1.5","P1","LOW","XS","teman-affiliate-microsite","missing","no","high"
"CommonComponentsCarouselPartnerContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCarouselPartnerShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCarouselProgram","SPLIT","1.5","P1","LOW","XS","teman-affiliate-microsite","missing","no","high"
"CommonComponentsCarouselProgramContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCarouselProgramShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCheckbox","NEW_SHARED_COMPONENT","4","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","low"
"CommonComponentsCompare","SPLIT","1.5","P1","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsCompareContainer","KEEP_APP_LOCAL","N/A","P1","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCompareShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCookie","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsCounterInputCounterInput","NEW_SHARED_COMPONENT","4","P1","LOW","XS","teman-affiliate-microsite","missing","yes","low"
"CommonComponentsDatepicker","NEW_SHARED_COMPONENT","4","P0","MEDIUM","M","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsErrorContent","NEW_SHARED_COMPONENT","4","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","low"
"CommonComponentsFileInput","NEW_SHARED_COMPONENT","4","P1","LOW","S","getrev-da-microsite|teman-affiliate-microsite","missing","yes","low"
"CommonComponentsFlashMessage","NEW_SHARED_COMPONENT","4","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","low"
"CommonComponentsFooter","SPLIT","1.5","P1","LOW","S","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsFooterContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsFooterProductDetail","SPLIT","1.5","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsFooterProductDetailContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsFooterProductDetailShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsFooterShell","KEEP_APP_LOCAL","N/A","P1","LOW","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsFooterTransaction","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
"CommonComponentsFormStep","NEW_SHARED_COMPONENT","4","P3","LOW","S","getrev-da-microsite","missing","yes","low"
"CommonComponentsHeaderCompare","SPLIT","1.5","P1","MEDIUM","S","teman-affiliate-microsite","missing","no","high"
"CommonComponentsHeaderCompareContainer","KEEP_APP_LOCAL","N/A","P1","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsHeaderCompareShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsHeaderListProduct","KEEP_APP_LOCAL","N/A","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
"CommonComponentsHeaderProductDetail","KEEP_APP_LOCAL","N/A","P2","MEDIUM","M","getrev-da-microsite","missing","no","low"
"CommonComponentsHtmlContent","KEEP_APP_LOCAL","N/A","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
"CommonComponentsI18Provider","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"CommonComponentsInfoProduct","SPLIT","1.5","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsInfoProductContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsInfoProductFilter","SPLIT","1.5","P1","LOW","M","teman-affiliate-microsite","missing","no","high"
"CommonComponentsInfoProductFilterContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsInfoProductFilterShell","KEEP_APP_LOCAL","N/A","P1","LOW","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsInfoProductShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsInfoProductTransaction","SPLIT","1.5","P1","LOW","S","teman-affiliate-microsite","missing","no","high"
"CommonComponentsInfoProductTransactionContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsInfoProductTransactionShell","KEEP_APP_LOCAL","N/A","P1","LOW","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsInputAffiliate","NEW_SHARED_COMPONENT","4","P3","LOW","S","getrev-da-microsite","missing","yes","low"
"CommonComponentsInputCurrency","NEW_SHARED_COMPONENT","4","P0","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputEmail","NEW_SHARED_COMPONENT","4","P0","MEDIUM","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputName","NEW_SHARED_COMPONENT","4","P0","MEDIUM","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputNumber","NEW_SHARED_COMPONENT","4","P0","MEDIUM","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputPhone","NEW_SHARED_COMPONENT","4","P0","MEDIUM","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputSelect","NEW_SHARED_COMPONENT","4","P0","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputSelectAutocomplete","NEW_SHARED_COMPONENT","4","P0","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsInputText","NEW_SHARED_COMPONENT","4","P0","MEDIUM","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsItemProduct","SPLIT","1.5","P1","LOW","M","teman-affiliate-microsite","missing","no","high"
"CommonComponentsItemProductContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsItemProductShell","KEEP_APP_LOCAL","N/A","P1","LOW","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsLoader","NEW_SHARED_COMPONENT","4","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","low"
"CommonComponentsModalAcceptCookie","NEW_SHARED_COMPONENT","4","P3","LOW","S","getrev-da-microsite","missing","yes","low"
"CommonComponentsModalAddonInfo","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalAddonOptions","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalFilter","NEW_SHARED_COMPONENT","4","P0","MEDIUM","S","teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsModalFormOps","SPLIT","1.5","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","high"
"CommonComponentsModalFormOpsContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalFormOpsShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalJenisClaim","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSampleImage","SPLIT","1.5","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","high"
"CommonComponentsModalSampleImageContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSampleImageShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSanctionList","KEEP_APP_LOCAL","N/A","P3","LOW","S","getrev-da-microsite","missing","no","low"
"CommonComponentsModalSelectLang","SPLIT","1.5","P0","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsModalSelectLangChange","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSelectLangContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSelectLangShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSort","NEW_SHARED_COMPONENT","4","P0","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsModalSuccess","NEW_SHARED_COMPONENT","4","P3","LOW","S","getrev-da-microsite","missing","yes","low"
"CommonComponentsModalSuccessOps","SPLIT","1.5","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","high"
"CommonComponentsModalSuccessOpsContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalSuccessOpsShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsModalTransactionNotFound","NEW_SHARED_COMPONENT","4","P3","LOW","S","getrev-da-microsite","missing","yes","low"
"CommonComponentsNavigation","SPLIT","1.5","P0","MEDIUM","M","getrev-da-microsite|teman-affiliate-microsite","missing","no","high"
"CommonComponentsNavigationBar","NEW_SHARED_COMPONENT","4","P0","MEDIUM","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","medium"
"CommonComponentsNavigationBarContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsNavigationBarShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsNavigationContainer","KEEP_APP_LOCAL","N/A","P0","MEDIUM","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsNavigationShell","KEEP_APP_LOCAL","N/A","P0","MEDIUM","S","teman-affiliate-microsite","missing","no","low"
"CommonComponentsOtpInput","NEW_SHARED_COMPONENT","4","P0","LOW","XS","teman-affiliate-microsite","missing","yes","low"
"CommonComponentsReCaptcha","KEEP_APP_LOCAL","N/A","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","no","low"
"CommonComponentsSelectPhoneCode","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","getrev-da-microsite|teman-affiliate-microsite","missing","no","medium"
"CommonComponentsStepperStepper","NEW_SHARED_COMPONENT","4","P1","LOW","XS","teman-affiliate-microsite","missing","yes","low"
"CommonComponentsTableBenefitPlan","KEEP_APP_LOCAL","N/A","P1","HIGH","L","getrev-da-microsite","missing","no","low"
"CommonComponentsTagFilter","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsViewImage","NEW_SHARED_COMPONENT","4","P1","LOW","XS","getrev-da-microsite|teman-affiliate-microsite","missing","yes","low"
"CommonComponentsViewImageContainer","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"CommonComponentsViewImageShell","KEEP_APP_LOCAL","N/A","P1","LOW","XS","teman-affiliate-microsite","missing","no","low"
"Compare","SPLIT","1.5","P0","HIGH","XS","agent-microsite|ecommerce-gelm|ecommerce-teman|grab-landing-page","partial","no","high"
"CompareContainer","KEEP_APP_LOCAL","1.5","P2","LOW","M","ecommerce-teman","missing","no","low"
"CompareShell","NEW_SHARED_COMPONENT","4","P0","HIGH","S","ecommerce-gelm|ecommerce-teman|grab-landing-page","missing","yes","high"
"ComponentsRechartsBarchartHorizontal","KEEP_APP_LOCAL","N/A","P1","MEDIUM","XS","agent-web-portal","partial","no","low"
"ComponentsRechartsBarchartVertical","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","agent-web-portal","partial","no","low"
"ComponentsRechartsDashedlinechart","KEEP_APP_LOCAL","N/A","P1","MEDIUM","XS","agent-web-portal","partial","no","low"
"ComponentsRechartsLinechart","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","agent-web-portal","partial","no","low"
"ComponentsRechartsLinechartPolicy","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","agent-web-portal","partial","no","low"
"Config","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"ConfigurationCommissionRateDetailView","SPLIT","1.5","P1","MEDIUM","M","affiliate-admin","missing","no","high"
